puerto,estado
355,(filtrado)
356,(filtrado)
357,(filtrado)
358,(filtrado)
359,(filtrado)
360,(filtrado)
361,(filtrado)
362,(filtrado)
363,(filtrado)
364,(filtrado)
365,(filtrado)
366,(filtrado)
367,(filtrado)
368,(filtrado)
369,(filtrado)
370,(filtrado)
371,(filtrado)
372,(filtrado)
373,(filtrado)
374,(filtrado)
375,(filtrado)
376,(filtrado)
377,(filtrado)
378,(filtrado)
379,(filtrado)
380,(filtrado)
381,(filtrado)
382,(filtrado)
383,(filtrado)
384,(filtrado)
385,(filtrado)
386,(filtrado)
387,(filtrado)
388,(filtrado)
389,(filtrado)
390,(filtrado)
391,(filtrado)
392,(filtrado)
393,(filtrado)
394,(filtrado)
395,(filtrado)
396,(filtrado)
397,(filtrado)
398,(filtrado)
399,(filtrado)
400,(filtrado)
401,(filtrado)
402,(filtrado)
403,(filtrado)
404,(filtrado)
405,(filtrado)
406,(filtrado)
407,(filtrado)
408,(filtrado)
409,(filtrado)
410,(filtrado)
411,(filtrado)
412,(filtrado)
413,(filtrado)
414,(filtrado)
415,(filtrado)
416,(filtrado)
417,(filtrado)
418,(filtrado)
419,(filtrado)
420,(filtrado)
421,(filtrado)
422,(filtrado)
423,(filtrado)
424,(filtrado)
425,(filtrado)
426,(filtrado)
427,(filtrado)
428,(filtrado)
429,(filtrado)
430,(filtrado)
431,(filtrado)
432,(filtrado)
433,(filtrado)
434,(filtrado)
435,(filtrado)
436,(filtrado)
437,(filtrado)
438,(filtrado)
439,(filtrado)
440,(filtrado)
441,(filtrado)
442,(filtrado)
443,(filtrado)
444,(filtrado)
445,(filtrado)
446,(filtrado)
447,(filtrado)
448,(filtrado)
449,(filtrado)
450,(filtrado)
451,(filtrado)
452,(filtrado)
453,(filtrado)
454,(filtrado)
455,(filtrado)
456,(filtrado)
457,(filtrado)
458,(filtrado)
459,(filtrado)
460,(filtrado)
461,(filtrado)
462,(filtrado)
463,(filtrado)
464,(filtrado)
465,(filtrado)
466,(filtrado)
467,(filtrado)
468,(filtrado)
469,(filtrado)
470,(filtrado)
471,(filtrado)
472,(filtrado)
473,(filtrado)
474,(filtrado)
475,(filtrado)
476,(filtrado)
477,(filtrado)
478,(filtrado)
479,(filtrado)
480,(filtrado)
481,(filtrado)
482,(filtrado)
483,(filtrado)
484,(filtrado)
485,(filtrado)
486,(filtrado)
487,(filtrado)
488,(filtrado)
489,(filtrado)
490,(filtrado)
491,(filtrado)
492,(filtrado)
493,(filtrado)
494,(filtrado)
495,(filtrado)
496,(filtrado)
497,(filtrado)
498,(filtrado)
499,(filtrado)
500,(filtrado)
501,(filtrado)
502,(filtrado)
503,(filtrado)
504,(filtrado)
505,(filtrado)
506,(filtrado)
507,(filtrado)
508,(filtrado)
509,(filtrado)
510,(filtrado)
511,(filtrado)
512,(filtrado)
513,(filtrado)
514,(filtrado)
515,(filtrado)
516,(filtrado)
517,(filtrado)
518,(filtrado)
519,(filtrado)
520,(filtrado)
521,(filtrado)
522,(filtrado)
523,(filtrado)
524,(filtrado)
525,(filtrado)
526,(filtrado)
527,(filtrado)
528,(filtrado)
529,(filtrado)
530,(filtrado)
531,(filtrado)
532,(filtrado)
533,(filtrado)
534,(filtrado)
535,(filtrado)
536,(filtrado)
537,(filtrado)
538,(filtrado)
539,(filtrado)
540,(filtrado)
541,(filtrado)
542,(filtrado)
543,(filtrado)
544,(filtrado)
545,(filtrado)
546,(filtrado)
547,(filtrado)
548,(filtrado)
549,(filtrado)
550,(filtrado)
551,(filtrado)
552,(filtrado)
553,(filtrado)
554,(filtrado)
555,(filtrado)
556,(filtrado)
557,(filtrado)
558,(filtrado)
559,(filtrado)
560,(filtrado)
561,(filtrado)
562,(filtrado)
563,(filtrado)
564,(filtrado)
565,(filtrado)
566,(filtrado)
567,(filtrado)
568,(filtrado)
569,(filtrado)
570,(filtrado)
571,(filtrado)
572,(filtrado)
573,(filtrado)
574,(filtrado)
575,(filtrado)
576,(filtrado)
577,(filtrado)
578,(filtrado)
579,(filtrado)
580,(filtrado)
581,(filtrado)
582,(filtrado)
583,(filtrado)
584,(filtrado)
585,(filtrado)
586,(filtrado)
587,(filtrado)
588,(filtrado)
589,(filtrado)
590,(filtrado)
591,(filtrado)
592,(filtrado)
593,(filtrado)
594,(filtrado)
595,(filtrado)
596,(filtrado)
597,(filtrado)
598,(filtrado)
599,(filtrado)
600,(filtrado)
601,(filtrado)
602,(filtrado)
603,(filtrado)
604,(filtrado)
605,(filtrado)
606,(filtrado)
607,(filtrado)
608,(filtrado)
609,(filtrado)
610,(filtrado)
611,(filtrado)
612,(filtrado)
613,(filtrado)
