universidad,porcentaje ttl-zero-during-transit, porcentajeRTT
google.com,50.0,0.3108062267303467
google.com,60.0,0.2542090892791748
google.com,50.0,0.31119911670684813
google.com,50.0,0.2982095956802368
google.com,50.0,0.30097298622131347
google.com,50.0,0.2976804733276367
google.com,50.0,0.30882670879364016
google.com,50.0,0.31038641929626465
google.com,50.0,0.3053844213485718
google.com,50.0,0.3208231210708618
google.com,50.0,0.3070524215698242
google.com,50.0,0.30544095039367675
google.com,60.0,0.2892803192138672
google.com,60.0,0.27275958061218264
google.com,50.0,0.30931386947631834
google.com,50.0,0.3016296148300171
google.com,50.0,0.29087319374084475
google.com,60.0,0.29725985527038573
google.com,50.0,0.31896653175354006
google.com,50.0,0.31147263050079343
google.com,50.0,0.2906251668930054
google.com,50.0,0.30129237174987794
google.com,50.0,0.2947926759719849
google.com,50.0,0.30074951648712156
google.com,50.0,0.3085585355758667
google.com,50.0,0.3012657403945923
google.com,50.0,0.319183349609375
google.com,50.0,0.3148646831512451
google.com,50.0,0.2926828384399414
harvard.edu,37.5,0.38610872626304626
harvard.edu,25.0,0.4128872752189636
harvard.edu,50.0,0.2894231677055359
harvard.edu,50.0,0.30909985303878784
harvard.edu,25.0,0.4293709993362427
harvard.edu,25.0,0.4166093170642853
harvard.edu,50.0,0.2997268736362457
harvard.edu,50.0,0.31131160259246826
harvard.edu,50.0,0.30341246724128723
harvard.edu,25.0,0.41092950105667114
harvard.edu,50.0,0.2976454496383667
harvard.edu,50.0,0.29976147413253784
harvard.edu,50.0,0.30273985862731934
harvard.edu,25.0,0.42836350202560425
harvard.edu,50.0,0.2969248592853546
harvard.edu,50.0,0.28479745984077454
harvard.edu,50.0,0.30041244626045227
harvard.edu,50.0,0.3339846432209015
harvard.edu,50.0,0.2936309278011322
harvard.edu,50.0,0.29287517070770264
harvard.edu,50.0,0.3005565106868744
harvard.edu,50.0,0.2914826273918152
harvard.edu,50.0,0.29156243801116943
harvard.edu,37.5,0.3793327212333679
harvard.edu,50.0,0.30145514011383057
harvard.edu,25.0,0.41221117973327637
harvard.edu,25.0,0.43290650844573975
harvard.edu,50.0,0.3046177923679352
harvard.edu,50.0,0.29659876227378845
harvard.edu,25.0,0.4122283458709717
mit.edu,50.0,0.31073137692042757
mit.edu,50.0,0.31390861102512907
mit.edu,42.857142857142854,0.35273521287100656
mit.edu,50.0,0.37070061479296
mit.edu,50.0,0.3122962542942592
mit.edu,50.0,0.3052570138658796
mit.edu,42.857142857142854,0.33631781169346403
mit.edu,50.0,0.3101789951324463
mit.edu,50.0,0.31401380470820833
mit.edu,42.857142857142854,0.33441524846213205
mit.edu,50.0,0.30578746114458355
mit.edu,50.0,0.3289464201245989
mit.edu,50.0,0.30299149240766254
mit.edu,50.0,0.3130744184766497
mit.edu,42.857142857142854,0.3469949449811663
mit.edu,50.0,0.31775028364998953
mit.edu,50.0,0.32613045828683035
mit.edu,50.0,0.3431191955293928
mit.edu,50.0,0.3213451589856829
mit.edu,50.0,0.32011210918426514
mit.edu,50.0,0.3016307183674404
mit.edu,50.0,0.3112316642488752
mit.edu,42.857142857142854,0.33769759110042025
mit.edu,50.0,0.32160585267203196
mit.edu,50.0,0.3027031932558332
mit.edu,50.0,0.3216228655406407
mit.edu,42.857142857142854,0.34928602831704275
mit.edu,42.857142857142854,0.3479095186505999
mit.edu,50.0,0.31363957268851145
mit.edu,50.0,0.3188539743423462
ulima.edu.pe,58.333333333333336,0.298662265141805
