ttl,ip,RTT
1,192.168.0.1,0.12041115760803223
2,*,0.5592408180236816
3,*,0.531177282333374
4,*,0.5272741317749023
5,*,0.567223072052002
6,181.89.51.39,0.06297659873962402
7,72.14.194.198,0.06302571296691895
8,142.250.62.85,0.11852478981018066
9,142.251.239.157,0.0508265495300293
10,142.251.133.238,0.06268525123596191
