ttl,ip,RTT
1,192.168.209.113,0.008255481719970703
2,*,1.0222663879394531
3,172.31.54.57,0.03563523292541504
4,*,1.0180613994598389
5,*,1.006606101989746
6,*,1.016775369644165
7,*,1.0014164447784424
8,*,1.0200181007385254
9,*,1.0049872398376465
10,*,1.0039231777191162
11,*,1.04520583152771
12,*,1.0043644905090332
13,*,1.0022544860839844
14,*,1.003920316696167
15,*,1.0082154273986816
16,*,1.006093978881836
17,*,1.0086240768432617
18,*,1.005744218826294
19,*,1.0048394203186035
20,*,1.0073738098144531
21,*,1.0035648345947266
22,*,1.0041148662567139
23,*,1.0102012157440186
24,*,1.0048112869262695
25,*,1.010225534439087
26,*,1.0051360130310059
27,*,1.0088865756988525
28,*,1.002612590789795
29,*,1.0071659088134766
30,*,1.0051136016845703
31,*,1.0095674991607666
32,*,1.021010398864746
33,*,1.0091679096221924
34,*,1.0053539276123047
35,*,1.010171890258789
36,*,1.003904104232788
37,*,1.0175552368164062
38,*,1.0055725574493408
39,*,1.0053431987762451
40,*,1.0366828441619873
41,*,1.006784439086914
42,*,1.0073728561401367
43,*,1.0103368759155273
44,*,1.00541353225708
45,*,1.0252325534820557
46,*,1.0053813457489014
47,*,1.0089099407196045
48,*,1.0075910091400146
49,*,1.0076825618743896
50,*,1.0059208869934082
51,*,1.0168371200561523
52,*,1.0051758289337158
53,*,1.0143065452575684
54,*,1.0049266815185547
55,*,1.0157289505004883
56,*,1.0038807392120361
57,*,1.0117900371551514
58,*,1.0045664310455322
59,*,1.0052070617675781
60,*,1.009171962738037
61,*,1.0048270225524902
62,*,1.007760763168335
63,*,1.0017204284667969
64,*,1.0111474990844727
65,*,1.0041253566741943
66,*,1.0016536712646484
67,*,1.0059151649475098
68,*,1.0052242279052734
69,*,1.0159308910369873
70,*,1.0002098083496094
71,*,1.0088329315185547
72,*,1.0114896297454834
73,*,1.0061101913452148
74,*,1.0418744087219238
75,*,1.0110256671905518
76,*,1.0079131126403809
77,*,1.0065698623657227
78,*,1.0032680034637451
79,*,1.027940273284912
80,*,1.005291223526001
81,*,1.007261037826538
82,*,1.0041241645812988
83,*,1.0087440013885498
84,*,1.003840684890747
85,*,1.0035812854766846
86,*,1.0064995288848877
87,*,1.0064923763275146
88,*,1.0089328289031982
89,*,1.0256681442260742
90,*,1.005981206893921
91,*,1.011782169342041
92,*,1.0052413940429688
93,*,1.0045902729034424
94,*,1.009768009185791
95,*,1.0051121711730957
96,*,1.0093448162078857
97,*,1.005265474319458
98,*,1.0080976486206055
99,*,1.0029408931732178
100,*,1.0142285823822021
101,*,1.005009412765503
102,*,1.0117509365081787
103,*,1.0054781436920166
104,*,1.0090904235839844
105,*,1.0078513622283936
106,*,1.0100421905517578
107,*,1.0098023414611816
108,*,1.0249147415161133
109,*,1.0052037239074707
110,*,1.0011613368988037
111,*,1.0139079093933105
112,*,1.003760576248169
113,*,1.0061554908752441
114,*,1.0053024291992188
115,*,1.009246587753296
116,*,1.003342628479004
117,*,1.0038306713104248
118,*,1.0089495182037354
119,*,1.0035839080810547
120,*,1.0229134559631348
121,*,1.0125696659088135
122,*,1.0123026371002197
123,*,1.0015850067138672
124,*,1.0076019763946533
125,*,1.0070152282714844
126,*,1.004779577255249
127,*,1.0044198036193848
128,*,1.0141432285308838
129,*,1.0029966831207275
130,*,1.014897346496582
131,*,1.0066018104553223
132,*,1.0098576545715332
133,*,1.0098013877868652
134,*,1.009617567062378
135,*,1.0092394351959229
136,*,1.0054097175598145
137,*,1.0025432109832764
138,*,1.0069847106933594
139,*,1.003972053527832
140,*,1.0073249340057373
141,*,1.0057294368743896
142,*,1.0230228900909424
143,*,1.0072641372680664
144,*,1.011305332183838
145,*,1.0098350048065186
146,*,1.0078043937683105
147,*,1.0069379806518555
148,*,1.0017154216766357
149,*,1.0092015266418457
150,*,1.0127360820770264
151,*,1.012322187423706
152,*,1.0053670406341553
153,*,1.0102386474609375
154,*,1.0046868324279785
155,*,1.009178638458252
156,*,1.009850263595581
157,*,1.0087687969207764
158,*,1.0018129348754883
159,*,1.007772445678711
160,*,1.0023221969604492
161,*,1.0084846019744873
162,*,1.0062367916107178
163,*,1.0198776721954346
164,*,1.0020341873168945
165,*,1.0101525783538818
166,*,1.0028736591339111
167,*,1.00911545753479
168,*,1.0046019554138184
169,*,1.0071547031402588
170,*,1.0105552673339844
171,*,1.0137720108032227
172,*,1.025057077407837
173,*,1.0110805034637451
174,*,1.0367634296417236
175,*,1.0077683925628662
176,*,1.0567631721496582
177,*,1.0046417713165283
178,*,1.009063482284546
179,*,1.0047123432159424
180,*,1.009833574295044
181,*,1.0108928680419922
182,*,1.027224063873291
183,*,1.0047407150268555
184,*,1.006493330001831
185,*,1.0029048919677734
186,*,1.0072717666625977
187,*,1.0078284740447998
188,*,1.006882667541504
189,*,1.008018970489502
190,*,1.0034780502319336
191,*,1.003969669342041
192,*,1.0083355903625488
193,*,1.0047321319580078
194,*,1.0090463161468506
195,*,1.00412917137146
196,*,1.009321928024292
197,*,1.0067143440246582
198,*,1.0040836334228516
199,*,1.0056278705596924
200,*,1.0068421363830566
201,*,1.0109524726867676
202,*,1.0250744819641113
203,*,1.0066063404083252
204,*,1.0231151580810547
205,*,1.001633882522583
206,*,1.0027828216552734
207,*,1.004587173461914
208,*,1.0051507949829102
209,*,1.0054881572723389
210,*,1.0052213668823242
211,*,1.0036535263061523
212,*,1.010810375213623
213,*,1.0026931762695312
214,*,1.0179834365844727
215,*,1.0139296054840088
216,*,1.0002264976501465
217,*,1.0046801567077637
218,*,1.0143373012542725
219,*,1.0016705989837646
220,*,1.007012128829956
221,*,1.0130743980407715
222,*,1.0078694820404053
223,*,1.0241320133209229
224,*,1.0025882720947266
225,*,1.0025532245635986
226,*,1.014009714126587
227,*,1.0050477981567383
228,*,1.0153038501739502
229,*,1.001563549041748
230,*,1.0003445148468018
231,*,1.0178859233856201
232,*,1.0080664157867432
233,*,1.002643346786499
234,*,1.0148403644561768
235,*,1.0002288818359375
236,*,1.0078685283660889
237,*,1.0028212070465088
238,*,1.0057024955749512
239,*,1.0044302940368652
240,*,1.0067086219787598
241,*,1.0110387802124023
242,*,1.041450023651123
243,*,1.009934902191162
244,*,1.0057520866394043
245,*,1.0023291110992432
246,*,1.0048372745513916
247,*,1.010232925415039
248,*,1.0117337703704834
249,*,1.0100724697113037
250,*,1.0085835456848145
251,*,1.0046594142913818
252,*,1.0097401142120361
253,*,1.0056018829345703
254,*,1.0091125965118408
255,*,1.004035472869873
256,*,0.45890140533447266
257,*,0.2899360656738281
258,*,0.06778979301452637
259,*,0.06821799278259277
260,*,0.04731416702270508
261,*,0.05301952362060547
262,*,0.11681365966796875
263,*,0.015465259552001953
264,*,0.0
265,*,0.0
266,*,0.015518903732299805
267,*,0.03149676322937012
268,*,0.0
269,*,0.20068907737731934
270,*,0.055389404296875
271,*,0.0465235710144043
272,*,0.07922887802124023
273,*,0.04161190986633301
274,*,0.03318476676940918
275,*,0.0624852180480957
276,*,0.020941734313964844
277,*,0.11712980270385742
278,*,0.5027806758880615
279,*,0.1474623680114746
280,*,0.10923576354980469
281,*,0.0574038028717041
282,*,0.17592787742614746
283,*,0.06435132026672363
284,*,0.019973278045654297
285,*,0.06451416015625
286,*,0.5337390899658203
287,*,1.009077548980713
288,*,0.0
289,*,1.0051283836364746
290,*,0.0035309791564941406
291,*,0.23454999923706055
292,*,0.21712160110473633
293,*,0.2512993812561035
294,*,0.01606440544128418
295,*,0.015540838241577148
296,*,0.27016544342041016
297,*,1.0026028156280518
298,*,0.0011093616485595703
299,*,0.16806483268737793
300,*,0.03732109069824219
301,*,0.2969071865081787
302,*,0.038123369216918945
303,*,0.4706611633300781
304,*,0.22220492362976074
305,*,0.38384175300598145
306,*,0.048125505447387695
307,*,0.0
308,*,0.015628814697265625
309,*,0.0
310,*,0.0312502384185791
311,*,0.005044221878051758
312,*,0.03126263618469238
313,*,0.04797959327697754
314,*,0.0
315,*,0.015770912170410156
316,*,0.005180835723876953
317,*,0.0
318,*,0.0
319,*,0.0
320,*,0.015650510787963867
321,*,0.0
322,*,0.016815185546875
323,*,0.0
324,*,0.03123760223388672
325,*,0.0
326,*,0.0
327,*,0.01569056510925293
328,*,0.005326509475708008
329,*,0.01603841781616211
330,*,0.0
331,*,0.024457454681396484
