ttl,ip,RTT
1,192.168.0.1,0.0996866226196289
2,*,1.059581995010376
3,*,1.03934907913208
4,*,1.0596280097961426
5,*,1.063563346862793
6,*,1.0397343635559082
7,195.22.220.56,0.07121896743774414
8,*,1.055781364440918
9,195.22.199.79,0.251112699508667
10,*,1.0595364570617676
11,*,1.0394287109375
12,*,1.0475471019744873
13,*,1.0475003719329834
14,*,1.063497543334961
15,*,1.055424451828003
16,*,1.0637192726135254
17,52.93.133.146,0.3029501438140869
18,*,1.055384874343872
19,*,1.071387767791748
20,*,1.0554687976837158
21,*,1.0719609260559082
22,*,1.0676319599151611
23,*,1.0588984489440918
24,*,1.0474843978881836
25,*,1.0472526550292969
26,*,1.067598819732666
27,*,1.0474517345428467
28,52.93.28.210,0.2599680423736572
29,*,1.0674471855163574
30,*,1.0431101322174072
31,*,1.0751595497131348
32,*,1.0394442081451416
33,*,1.0354669094085693
34,*,1.043504238128662
35,*,1.0434532165527344
36,*,1.0437355041503906
37,*,1.051236867904663
38,*,1.0597848892211914
39,*,1.0789661407470703
40,*,1.0432825088500977
41,*,1.0554161071777344
42,*,1.0599501132965088
43,*,1.0515367984771729
44,*,1.055027723312378
45,*,1.059657335281372
46,*,1.0469672679901123
47,*,1.043436050415039
48,*,1.0475139617919922
49,*,1.0431699752807617
50,*,1.0671963691711426
51,*,1.0633580684661865
52,*,1.0473647117614746
53,*,1.0434224605560303
54,*,1.0513968467712402
55,*,1.0354719161987305
56,*,1.0434529781341553
57,*,1.0394659042358398
58,*,1.0512824058532715
59,*,1.0396203994750977
60,*,1.0593702793121338
61,*,1.043576717376709
62,*,1.0354976654052734
63,*,1.0394854545593262
64,*,1.0595452785491943
65,*,1.047471523284912
66,*,1.0315053462982178
67,*,1.0394935607910156
68,*,1.039400339126587
69,*,1.0396125316619873
70,*,1.0794475078582764
71,*,1.0355603694915771
72,*,1.0315310955047607
73,*,1.043522596359253
74,*,1.0314784049987793
75,*,1.0515937805175781
76,*,1.0434489250183105
77,*,1.0433850288391113
78,*,1.0315744876861572
79,*,1.051215410232544
80,*,1.0316295623779297
81,*,1.0514822006225586
82,*,1.0514769554138184
83,*,1.0554349422454834
84,*,1.0434410572052002
85,*,1.039534330368042
86,*,1.0313668251037598
87,*,1.0555016994476318
88,*,1.0394136905670166
89,*,1.035200595855713
90,*,1.0314524173736572
91,*,1.0353851318359375
92,*,1.0554704666137695
93,*,1.0434341430664062
94,*,1.0436277389526367
95,*,1.0435247421264648
96,*,1.0595018863677979
97,*,1.0593864917755127
98,*,1.0356121063232422
99,*,1.0475373268127441
100,*,1.051590919494629
101,*,1.043266773223877
102,*,1.039612054824829
103,*,1.0714316368103027
104,*,1.0636088848114014
105,*,1.0515081882476807
106,*,1.0515413284301758
107,*,1.0354397296905518
108,*,1.059279203414917
109,*,1.0521156787872314
110,*,1.042903184890747
111,*,1.0355653762817383
112,*,1.0676369667053223
113,*,1.047173261642456
114,*,1.035759449005127
115,*,1.0592164993286133
116,*,1.0436112880706787
117,*,1.071305274963379
118,*,1.0475308895111084
119,*,1.0475609302520752
120,*,1.1154839992523193
121,*,1.0557193756103516
122,*,1.0516788959503174
123,*,1.051034927368164
124,*,1.0514819622039795
125,*,1.0480456352233887
126,*,1.0515096187591553
127,*,1.042959213256836
128,*,1.0560550689697266
129,*,1.054898977279663
130,*,1.051628589630127
131,*,1.0439956188201904
132,*,1.058868408203125
133,*,1.0558462142944336
134,*,1.0552215576171875
135,*,1.0597734451293945
136,*,1.0587077140808105
137,*,1.0555038452148438
138,*,1.0479145050048828
139,*,1.0431647300720215
140,*,1.0474233627319336
141,*,1.0433743000030518
142,*,1.0476047992706299
143,*,1.0476222038269043
144,*,1.0510213375091553
145,*,1.0596156120300293
146,*,1.0358502864837646
147,*,1.051633596420288
148,*,1.0434753894805908
149,*,1.0590367317199707
150,*,1.047365427017212
151,*,1.0394201278686523
152,*,1.0435867309570312
153,*,1.043513298034668
154,*,1.0633478164672852
155,*,1.051471471786499
156,*,1.0356175899505615
157,*,1.0594563484191895
158,*,1.051422119140625
159,*,1.0555195808410645
160,*,1.0471856594085693
161,*,1.0513606071472168
162,*,1.0514633655548096
163,*,1.0433070659637451
164,*,1.0516471862792969
165,*,1.0476462841033936
166,*,1.0432090759277344
167,*,1.039463996887207
168,*,1.0478923320770264
169,*,1.0431365966796875
170,*,1.043342113494873
171,*,1.0353753566741943
172,*,1.0754737854003906
173,*,1.0391368865966797
174,*,1.043825626373291
175,*,1.0432085990905762
176,*,1.0553951263427734
177,*,1.0360214710235596
178,*,1.05149507522583
179,*,1.0429985523223877
180,*,1.0435988903045654
181,*,1.043191909790039
182,*,1.0513417720794678
183,*,1.0714707374572754
184,*,1.067429780960083
185,*,1.0514004230499268
186,*,1.0434894561767578
187,*,1.0514800548553467
188,*,1.0355629920959473
189,*,1.039480209350586
190,*,1.043565273284912
191,*,1.0594995021820068
192,*,1.0475311279296875
193,*,1.055675983428955
194,*,1.0554146766662598
195,*,1.0599699020385742
196,*,1.0390446186065674
197,*,1.0633869171142578
198,*,1.0356230735778809
199,*,1.0634498596191406
200,*,1.0433290004730225
201,*,1.059823989868164
202,*,1.047370433807373
203,*,1.047719955444336
204,*,1.0348765850067139
205,*,1.0556015968322754
206,*,1.071474552154541
207,*,1.0598995685577393
208,*,1.047487497329712
209,*,1.0630908012390137
210,*,1.0559720993041992
211,*,1.043034315109253
212,*,1.039978265762329
213,*,1.0515692234039307
214,*,1.0670862197875977
215,*,1.0713715553283691
216,*,1.0632731914520264
217,*,1.059934139251709
218,*,1.051513671875
219,*,1.0548624992370605
220,*,1.0440616607666016
221,*,1.047344446182251
222,*,1.0553243160247803
223,*,1.055459976196289
224,*,1.0509538650512695
225,*,1.0358710289001465
226,*,1.0477519035339355
227,*,1.0389680862426758
228,*,1.0515704154968262
229,*,1.0354647636413574
230,*,1.0593714714050293
231,*,1.047447919845581
232,*,1.0434339046478271
233,*,1.0355432033538818
234,*,1.051448106765747
235,*,1.0874474048614502
236,*,1.0554933547973633
237,*,1.05552077293396
238,*,1.0394322872161865
239,*,1.0556135177612305
240,*,1.0473623275756836
241,*,1.039630651473999
