ttl,ip,RTT
1,192.168.0.1,0.0457003116607666
2,*,0.5594000816345215
3,*,0.539057731628418
4,*,0.5475471019744873
5,*,0.5311746597290039
6,181.96.113.234,0.07167506217956543
7,195.22.220.56,0.0699610710144043
8,195.22.199.179,0.19521594047546387
9,89.221.41.197,0.19095849990844727
10,89.149.133.226,0.2113664150238037
11,69.174.14.10,0.19108366966247559
12,192.124.249.53,0.19106507301330566
